{'ratio': 100, 'chiN_hz': 5000.0, 'shape': 'voigt', 'xi2': 0.28253575611944665, 't': 6.550459468626085e-05, 'contrast': 0.899190878015349, 'f_out': 0.09274248382634763, 'var_tot': 571106998.9181261, 'var_ii': 542326051.1553564, 'var_oo': 185845284.57262927, 'var_io': -157064336.8098559, 'Jn': 4495955794.756162, 'J_i': 4237759156.107804, 'J_o': 258202079.69386768, 'N_tot': 9999999999.999998, 'xi2_core': 0.27246138317983243, 'n_out': 927424838.2634761}
{'ratio': 100, 'chiN_hz': 10000.0, 'shape': 'voigt', 'xi2': 0.10908941063409074, 't': 0.00019571813012177056, 'contrast': 0.9767938341713095, 'f_out': 0.032258649414770794, 'var_tot': 260218181.1863346, 'var_ii': 208001073.0880847, 'var_oo': 63858020.4694404, 'var_io': -11640912.371189596, 'Jn': 4884020979.256934, 'J_i': 4758559936.083193, 'J_o': 132372773.26416667, 'N_tot': 10000000000.0, 'xi2_core': 0.08856307189531593, 'n_out': 322586494.14770794}
{'ratio': 100, 'chiN_hz': 20000.0, 'shape': 'voigt', 'xi2': 0.08831761256306393, 't': 7.719984732223817e-05, 'contrast': 0.9455858714733162, 'f_out': 0.02336517534639629, 'var_tot': 197424384.1921959, 'var_ii': 181266119.20257854, 'var_oo': 42686067.17982583, 'var_io': -26527802.19020792, 'Jn': 4727992029.712899, 'J_i': 4655665281.4226055, 'J_o': 74518246.61266157, 'N_tot': 10000000000.0, 'xi2_core': 0.08137046140329346, 'n_out': 233651753.46396288}
{'ratio': 100, 'chiN_hz': 40000.0, 'shape': 'voigt', 'xi2': 0.07779505991546076, 't': 3.2947038960614027e-05, 'contrast': 0.9607920908392136, 'f_out': 0.010834104113971841, 'var_tot': 179536886.00685215, 'var_ii': 168313248.44728994, 'var_oo': 20559447.61187222, 'var_io': -9335810.05231106, 'Jn': 4803976058.155287, 'J_i': 4763827726.892934, 'J_o': 40704900.854661144, 'N_tot': 10000000000.0, 'xi2_core': 0.0733130070484071, 'n_out': 108341041.13971841}
{'ratio': 100, 'chiN_hz': 80000.0, 'shape': 'voigt', 'xi2': 0.07124398061293959, 't': 1.4112537114855864e-05, 'contrast': 0.9731406253163472, 'f_out': 0.006167330925596608, 'var_tot': 168670858.45302868, 'var_ii': 161687645.2585702, 'var_oo': 12177088.564962909, 'var_io': -5193875.370500234, 'Jn': 4865706842.344761, 'J_i': 4840442019.983781, 'J_o': 25407835.648199804, 'N_tot': 10000000000.0, 'xi2_core': 0.06857691750459839, 'n_out': 61673309.25596608}
{'ratio': 1000, 'chiN_hz': 5000.0, 'shape': 'voigt', 'xi2': 0.2699604541625785, 't': 6.550459468626085e-05, 'contrast': 0.8991741482264055, 'f_out': 0.09274248382634763, 'var_tot': 545667120.4550674, 'var_ii': 518983578.64507604, 'var_oo': 185245164.04061723, 'var_io': -158561622.2306232, 'Jn': 4495870755.186752, 'J_i': 4237703985.349392, 'J_o': 258166824.27861118, 'N_tot': 9999999999.999998, 'xi2_core': 0.26070687896293077, 'n_out': 927424838.2634761}
{'ratio': 1000, 'chiN_hz': 10000.0, 'shape': 'voigt', 'xi2': 0.05078756359092128, 't': 0.00021041618061455844, 'contrast': 0.9625045224437446, 'f_out': 0.032258649414770794, 'var_tot': 117625920.71541977, 'var_ii': 65771090.33477259, 'var_oo': 63320852.76609988, 'var_io': -11466022.385451527, 'Jn': 4812523113.961075, 'J_i': 4680993787.058289, 'J_o': 131616503.37015034, 'N_tot': 10000000000.0, 'xi2_core': 0.029047473042156564, 'n_out': 322586494.14770794}
{'ratio': 1000, 'chiN_hz': 20000.0, 'shape': 'voigt', 'xi2': 0.029576066681538008, 't': 0.0001113110008438387, 'contrast': 0.9722349474172337, 'f_out': 0.02336478448582127, 'var_tot': 69891268.99088812, 'var_ii': 55603129.469117165, 'var_oo': 45899764.50790735, 'var_io': -31611624.986140504, 'Jn': 4861174986.877358, 'J_i': 4793325092.322535, 'J_o': 67943591.50163098, 'N_tot': 10000000000.0, 'xi2_core': 0.02296567743374535, 'n_out': 233647844.8582127}
{'ratio': 1000, 'chiN_hz': 40000.0, 'shape': 'voigt', 'xi2': 0.021867867753783254, 't': 5.799918782900285e-05, 'contrast': 0.9773788066020712, 'f_out': 0.010833656028270631, 'var_tot': 52224261.85257292, 'var_ii': 41436202.73771191, 'var_oo': 19921660.410495378, 'var_io': -9133601.295634132, 'Jn': 4886894188.399791, 'J_i': 4848345904.851638, 'J_o': 38600627.599724784, 'N_tot': 10000000000.0, 'xi2_core': 0.017413171630487886, 'n_out': 108336560.28270632}
{'ratio': 1000, 'chiN_hz': 80000.0, 'shape': 'voigt', 'xi2': 0.018148476214928884, 't': 2.949979695725071e-05, 'contrast': 0.9869509629451337, 'f_out': 0.006167025376659569, 'var_tot': 44194816.407143116, 'var_ii': 40189975.75079298, 'var_oo': 12034197.8561408, 'var_io': -8029357.199797396, 'Jn': 4934754863.632387, 'J_i': 4913965759.034471, 'J_o': 20818241.000467595, 'N_tot': 10000000000.0, 'xi2_core': 0.016533505739410214, 'n_out': 61670253.766595684}
{'ratio': 10000, 'chiN_hz': 5000.0, 'shape': 'voigt', 'xi2': 0.2685302416307371, 't': 8.792049557188405e-05, 'contrast': 0.7880691051723892, 'f_out': 0.09274248382634763, 'var_tot': 416928723.264133, 'var_ii': 391475215.6056297, 'var_oo': 170291586.75005442, 'var_io': -144838079.09154108, 'Jn': 3940345527.069154, 'J_i': 3810225923.1874285, 'J_o': 130119608.76824254, 'N_tot': 9999999999.999998, 'xi2_core': 0.24073403686482187, 'n_out': 927424838.2634761}
